"facltNm","contentId","manageSttus","induty","lctCl","doNm","sigunguNm","operPdCl","sbrsCl","facltDivNm","siteBottomCl1","siteBottomCl2","siteBottomCl3","siteBottomCl4","siteBottomCl5","roomCount"
"소풍캠핑장","7324","운영","자동차야영장,카라반,글램핑","산,숲","경기도","용인시","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,마트.편의점","민간","0","0","0","0","0","0"
"초리 포레스트","7329","운영","일반야영장","","경기도","파주시","","","","0","0","0","0","0","0"
"불멸의 글램핑","733","운영","일반야영장","산","경상남도","하동군","봄,여름,가을,겨울","","민간","0","0","0","0","0","0"
"자연의꿈","7330","운영","일반야영장","","경기도","파주시","","","","0","0","0","0","0","0"
"돌산캠핑장","7331","운영","일반야영장","산","경기도","파주시","","","민간","0","83","0","0","0","83"
"안성운모석캠핑장","7333","운영","일반야영장","","경기도","안성시","","","","0","0","0","0","0","0"
"헬로우 힐 연인산 캠핑장","7336","운영","일반야영장","","경기도","가평군","봄,여름,가을","","민간","0","0","0","0","0","0"
"엄소리오토캠핑장","7337","운영","일반야영장","","경기도","가평군","","","","0","0","0","0","0","0"
"블루래빗","7338","운영","일반야영장","","경기도","가평군","","","","0","0","0","0","0","0"
"대둔산 그린시티 오토캠핑장","734","운영","일반야영장,글램핑","산,숲","전라북도","완주군","봄,여름,가을,겨울","전기,온수,트렘폴린,물놀이장,놀이터,운동시설","지자체","0","35","0","0","0","5"
"새연 글램핑 카라반 설악2호점","7340","운영","카라반,글램핑","산","경기도","가평군","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수,물놀이장,운동시설","민간","0","0","0","0","0","34"
"메타피아 오래캠핑장 & 카라반","7341","운영","일반야영장,카라반","계곡","경기도","가평군","","","민간","0","16","4","0","0","22"
"파마스힐 캠핑장","7342","운영","일반야영장","","경기도","가평군","","","","0","0","0","0","0","0"
"앙티브","7343","휴장","일반야영장","","경기도","가평군","","","민간","0","0","0","0","0","0"
"소노휴 양평","7344","운영","일반야영장","강","경기도","양평군","봄,여름,가을","전기,무선인터넷,온수,트렘폴린,물놀이장,놀이터,산책로,운동장,마트.편의점","민간","0","0","30","0","0","30"
"더휴글램핑","7345","운영","일반야영장","","경기도","양평군","","","","0","0","0","0","0","0"
"산대분교공공캠핑장","7346","운영","일반야영장","","경기도","양평군","","","","0","0","0","0","0","0"
"제이드별빛카라반 캠핑장","7347","운영","일반야영장","","강원도","춘천시","봄,여름,가을,겨울","","민간","0","0","0","0","0","0"
"강촌밸리","7348","운영","일반야영장","","강원도","춘천시","","","","0","0","0","0","0","0"
"춘천하늘캠핑장","7351","운영","일반야영장","","강원도","춘천시","","","","0","0","0","0","0","0"
"강촌버즈글램핑","7352","운영","일반야영장","","강원도","춘천시","","","","0","0","0","0","0","0"
"간현관광지 캠핑장","7353","휴장","일반야영장","산,강","강원도","원주시","봄,여름,가을","전기,무선인터넷,온수,마트.편의점","지자체","0","37","32","0","0","69"
